,userid,likes_given,pages_liked_sum_likes
51,9aa50d707982f44caf0b8fb245770a4c,2267,188172
52,148d5950fa35b2150eff07d2e4178683,2243,148229
53,b5216de11cb6bd140c4a12245e6f6a1b,2191,188827
54,722ebc9afbd1f96c9a0d9ceddf58165d,2186,216544
55,79e3e569a4cc6b0a06381a9b13735e39,2156,98516
56,d54503cb2aabeec26196c4e95885366c,2153,203051
57,621d3e1927d1699e2363665af85b6c04,2110,75859
58,602671678b05597929fa8a5299e5c5f0,2092,197060
59,e1d34ebcab9099d112964504b3475315,2088,153282
60,fd1e5788e82023c6cb7a0464ec0cdb29,2062,150423
61,b71f93655d8568b602af2645bbc7c47a,2060,47198
62,6fe2132d1f1a46392b2266b25fe11e17,2056,149214
63,a343b7b730009c802c6f89038cbf27cf,2048,20932
64,eeb3912bb443f117d92bd185794f6aee,2047,194170
65,82ab56d08224e4a65b416295bb4b2a7d,1993,75315
66,95ef3de118e218bca7f2229a23ff59af,1991,88264
67,c9a5dc9bbed8da5af2940f339c5a1aa4,1986,111188
68,4448c6d3a54cb844a6cab83c22023eef,1983,45698
69,4beefa75884dc3d2946cfa3b0e81fcac,1982,30003
70,d8491d0a0a40eb6a62310b4c6dbcee7e,1969,96031
71,183151444be317106564a56e87c46ff8,1965,105892
72,72366dc15dbb7f7d5a313e229d8e96e9,1960,132621
73,2ef29460de52c42bb3cc680cdf4133a0,1960,101173
74,0f74c25dc0263229f83b0b2f9ec4db78,1957,176180
75,967e30a956010d9606e70c05be390738,1922,85446
76,90d89a90920fdb74ff9ab696e97b114b,1916,164114
77,b7ba5e4c1a63c95e2727f51f6fb72495,1895,156111
78,9fb708db0ac17768655509246a1fa541,1890,211371
79,0426a75f5ffa761919e3fa21b3b6a21b,1887,171089
80,030a555400866aec7f423d5a6bc32951,1874,33276
81,80a6326dd99b7add9affa8b0e6d5d962,1847,46100
82,7cdd5f20c3ba898a745f41c19aca3f19,1845,114410
83,02b3580531d92a6ebeb07493298227f9,1835,128235
84,9008355dbc1ae52ecc24b73ea1259b59,1824,167812
85,a4077eb9ef9cb79a7c134ddab6042c68,1823,46494
86,9c9e5ee73368fc6e079c3508ca65bcad,1810,121301
87,13afca13bb6d4ce202f930f51d5e8ac0,1808,137074
88,44b1feca840bc93766952da1982d2d36,1795,133414
89,37d31cafa5fd410e9631b532e8b9596d,1792,109266
90,48b6cfd9acba229eb363c82e1e5e7426,1789,92712
91,140fc51de12c0b42a0bfd1a87d5ccc0b,1777,56094
92,2099dde36e1e04dc3c2395aa475c190e,1772,93830
93,1166cad3167b2ebbcaf636c2f42880a0,1772,71578
94,b43c850c48b38ab3a03dd28affe83344,1771,75548
95,b5b8066c4c91704ded8bce494d4e0630,1766,160219
96,484a761dab9d34a5439d78f4c61f408e,1762,59483
97,1766d2d5a6ff6fde12c8f430ed68d956,1760,81599
98,7425ff73e227770d5aae92aee322fd1d,1753,6908
99,1c70569d0e4203015f0d4eb947182c09,1751,146359
100,0e4715a51d4089ca2e21b59aca35b9fb,1748,170178
101,eef7f5992957237f5fc786bfa1bfbb95,1738,98829
102,b0fd1ca4a641bb43c8480259aa49b226,1736,151488
103,ce457c6a06886bece53883b6a2d82be1,1734,99907
104,505c22ac0b72d977916a5a87499fabb8,1724,126547
105,48f81d820028ff237c7de5171d8c6428,1712,168707
106,c99aab705f83407d5698d2f9f600eac3,1710,90147
107,7d05c9b07ab15b9911da9055795b7e75,1702,97969
108,bf7f86544c946139b64a22e0ad1ad395,1697,18954
109,0dfd15f62d3591acd0cbb8068b40c797,1697,118552
110,845d0cec55e4179f0db280faa97815b6,1687,166671
111,98a26e62c3cd2468efe4ebbdb15ab920,1685,48224
112,1d5aa19a45aee52ab79984a1018b6ff9,1670,114654
113,570eddb0ea777fbf8f6be6bc34c831e5,1667,146685
114,0bfcc3c5bddb06e2229a630dc12faa2b,1665,149570
115,3cb40478b42d05874d5e98452631752e,1662,150545
116,c40bad0da1b357f04b92ad29ab7b4ab7,1656,95858
117,f218ec282a0fb83c4a55eb0154a949a8,1648,110460
118,960daaf30b8f5348a269cc42a938e4b1,1647,93915
119,b4e488371c221787de14737268de90d1,1644,95519
120,591187215ea0ffe5b83fc893f2818311,1644,30976
121,fe8304c25d7825dd5204b89911c652e0,1634,149168
122,0c81f4bccf8a45767b78819850b4065a,1622,93564
123,03005d190b2bbb629acd83d2b9c80d28,1597,42190
124,dfd6dfe5cc425e03094c3b134c51a0fd,1591,123979
125,1ed40d7cc75ef2576380ad779370a2ee,1580,92198
126,1598865a7fcc8369008c6a3aac80212a,1576,22646
127,6513595bc5564d1e345be98b16d94c1a,1570,81894
128,befa1376d8d5e3e44fc791d2f958bbc1,1554,100624
129,92fdcf12bee4b4eaa93f4491b94bf068,1544,81876
130,fdeb135f4a3179b36cb40b52d9e8bfa3,1539,67324
131,0750a03430ec6191cf92bd8713274d55,1536,80547
132,2915159730c2e29d770677527c866a96,1526,143941
133,c86edd6d42c56d8b26d428d78bf81789,1525,80665
134,0c3146067b1509e7c33c731ba0dadbd4,1525,151265
135,2b85f98cdb7bc0fefd448885db0af675,1524,150216
136,ae6685fbefc102831e7be33f5f60c130,1521,154686
137,c5b389b799494a63f278fc901c42219e,1511,120880
138,40f32d7ae8b70b17ccc5b4c1a6f495db,1499,67747
139,dfc4f5c121c99621cab8df08b3e7b49a,1497,45191
140,18340708814557a76206194e4cb9021d,1477,102818
141,842959ebc427e252163ff59569717be5,1453,90545
142,9410ef2feded42d00f73c415a3ee93d1,1420,88238
143,0d831fe9cc0677835652c3751b258d00,1394,109350
144,f24e4f87ef056b22c2a998902e50b72e,1393,67527
145,56b07a2daf68b43c33323948d2f23d15,1384,42986
146,6ed43538ed2d0377f981f06ae1b79c4c,1382,36729
147,e48c86a47362d080cadb482ae163dd94,1376,33169
148,08864d2ed2d0d001f0f520ee2cbdbd11,1373,144021
149,16b192d064be90fcf945427f98622166,1361,88626
150,cd1ea2c858482b415b871a851efb588a,1358,85804
151,ab52bf782b026715a2e2a876d73fe396,1357,120876
152,8b92241418528644297c049a990a600c,1356,84393
153,1fa2fab154e62569ea471467df64657c,1355,120485
154,40adb4ee3c8d1ebce466a3cfa094c1b5,1343,107678
155,b65f2916ad7399188ebf2c61d64e0828,1343,91509
156,1886e4354c8aab9f806abf23de15ea09,1343,104699
157,810d8239fb276b82290297ad25ef0e2f,1335,76709
158,85c3d935421e32ee7bc970185fc65bc3,1333,43202
159,a18d6b9052cd1bb424c04e6c15ab1be7,1331,129683
160,0bdb458d230b824e5e34d348a04bcbc0,1330,156372
161,4a21318641b70d34aaf05038a56d4e49,1325,119887
162,9feb3620a0d8c258d85a254831f45b92,1323,62138
163,eab85b09a7f5686b3486013e7bb0d653,1322,148039
164,bf45ea766695c09187b2d67d0fe6da3f,1307,113661
165,031a8981c98e7dbcf0a6b8d4aafc7f05,1301,84368
166,1235489bc756bd4de59684087130f1f5,1289,43497
167,cd50e5c2633417008b3648477c3d06d9,1281,28736
168,e1d87768e97746ef4b61ac7c6ba72185,1276,110261
169,57118d9a71e91b6568471ffbd7077415,1273,137313
170,12470bd78b3e0570c87bcebbdd8fd293,1263,98432
171,02d24d57237fbb25ad580afe0eee22f6,1263,120928
172,bf087244491626fa63cc1b0623a96931,1262,108564
173,5192332f7824151f7bf6c8549d4806d3,1261,144228
174,c5559438959d08ace94e1e016a8d4a8a,1259,115892
175,666bc2cbd8b656fd585bc8ebff6a0111,1244,75336
176,d6db9bb7e400f7cef45e175886817fb8,1242,57044
177,77af6b0058b44ed2bdb43e1f1022af96,1239,39949
178,1588d16499a67161ee75ea23f9915e68,1227,51683
179,786656fb62aa63540d7672ff48bd1c02,1223,77240
180,0202e702887c060e91c4273a32089c51,1220,96144
181,5ce77ebfb2c69aa29b2a6db344729b78,1215,80319
182,48811e64176f5db3eb6cde153930ba2b,1212,29805
183,ba307b326fc099258a28cfc4975c3b2e,1209,4358
184,6a5eab41904c975fdfc9b3f890e20d0d,1207,81394
185,b796f5f61eda6cb5ac60817aecea1646,1206,145387
186,d768a3d57cd38e01797fadb6206356bb,1203,87279
187,288f4c6982ced797badb6b618b673b26,1198,56858
188,2dca898dfbdae6716a587adbfd99c542,1197,114016
189,0c787895fc6ecc442ec9a223d922e828,1196,147444
190,d59d6ac59fb551c6b91039e416fcbb6f,1194,62578
191,277c08154c7328dbed0784c7b517c951,1188,49519
192,a841d0bde34d7e31509fa21865d22501,1187,58483
193,4e5524acc398cb6011ac42f4cb64741e,1185,138404
194,0d3caa3f80737d37811a4bf47ee49881,1180,60576
195,f254744b6da67809d43bf0053d6cc04e,1178,40835
196,bfe03f2780d84c37cb694c26627f56d9,1175,106977
197,0c05c7cfa5773f0cb4f0da84fd981fe9,1168,23761
198,b23f679c6f835bf31f4858880a5be852,1161,110659
199,4bb746433c2fbee1d79b98f1ffdaa2dc,1160,123231
200,6db5f773165a23b650558f574ecfe94f,1152,85460
201,f358b75c71d85c91ec0452c6114e3b15,1145,83185
202,22b542a45e00ffc5290449c3163cff26,1140,51118
203,26eac365665950e5cf68cc0d5e6dc4e2,1139,99997
204,02046b2e08382df14d3e85634b6bf774,1136,114882
205,1865a4f8b549220fb663dd479f3f5ca2,1132,75156
206,4fac2424018c2dd51c0adcc66f484b39,1129,85346
207,0e58affd026c9cd6f6897abf4b7a994c,1128,38134
208,1e19c74741129de0d8c9b3fb6058541f,1126,43676
209,55a1145daf8b43a2a53f85fe413d80ae,1126,123626
210,c7a1136554bff6da53adaaba0325f6d0,1123,55971
211,6d20e46f654858ceef59dfa54b226c01,1122,141599
212,4b981fa308b1a039eebe35914c1c874a,1117,52389
213,f6a7ccfba19b03bc22a03207467b7a4c,1115,145419
214,6cfb7bd0f6704a58accdf47ca8636ab3,1115,100654
215,06157e0d7aa6bf28c4375075a61fe79c,1112,69760
216,2fb143b2acbb5c90d3366388a66ba280,1108,45839
217,c747c8877ae9ad714a705f2e89eb3745,1106,107153
218,c0246f0dc802c6caac0bb09fda81c4e8,1104,79206
219,50938598e6a753bdba39014d286789fd,1103,48482
220,f11c69659ffb0d0ee361b60068075ea7,1100,51762
221,44364a0593581bdf4a2765d7bc53a8bc,1095,51327
222,c3a7f668be33e4def732fe1f96474fad,1088,143899
223,03fcf85b2c9c4a5e648eb8e7cddcc635,1088,54287
224,5349730519a7d51f0da941bb5a2037b3,1083,57485
225,f91103a53ae4598fcf605906eb94e472,1083,126846
226,a909724de96a0ca4d902b919b72f3b26,1079,15280
227,975aa16b97b99a2c19004448fe9a40fe,1079,76325
228,57fa80527a25197c9f8a9c618fde446f,1078,68985
229,111de8be3363cfad787a6cde45a039d1,1070,95974
230,ca4591994c00795feecfdf8c5d96d6c9,1070,98229
231,096fd746d3c7e09a28db76268b6ddb80,1067,79877
232,ecd7e06b04ae4eeec7dcb0929d5a0f5b,1067,45023
233,1c16c154820739b11b5600bd8b3a5e16,1066,116075
234,36d01111cfeb1744f6e2b03a8894e62f,1066,11557
235,7dea40367b1b7086b0152b762b6de70e,1065,143805
236,7e786eb2bc9e4a01461ee21a0a6f9aa1,1065,98748
237,a323427e0712816a342e47f64717d8c5,1065,59350
238,642c9a9005a6f10850006d6f63c6d925,1063,117177
239,089b3bfd472c9dbd0b76a89acf13ad06,1060,106503
240,a1ab3ffcdf8d3b4d788afe23bc5edb8e,1058,69402
241,ab46b30d5f936aa0c0749b9fc45db42f,1054,19764
242,6a6b5192291c83cbc19aa79274853cc6,1054,64893
243,3d813b3227c1635f26a649242d7f48ca,1051,78695
244,c8da657234333c95e7e1fed7b21f7d89,1050,142395
245,3e76d1bd96600d60ef123dee3cafec03,1047,68163
246,a6ebd23a2b3cda01fb85001582bd1f96,1046,110850
247,e0faf1c403df30741c864af217b181a4,1045,46149
248,ba1d900fc04bf159b980363f373f078f,1044,38090
249,1d5d03d8434c9323a1f2650458659dd1,1043,72145
250,a4e562a8d84150fd722e158e8a9ce348,1037,47512
251,e4d49daa6535f3cdfeb9ba65af7c075d,1035,114890
252,621cabd9cca02875c4adfdc3867eea4d,1032,136670
253,012ce67547e84bd3e8a2e1916eabc3bd,1026,8358
254,61c1847e5ea81c89afed6ff35c1166b6,1024,122702
255,4fca4032cda9538a88d6d9bc526167c1,1023,80130
256,aff9849399708ba182d9c4ee1bc7a0be,1021,85939
257,b5df3f05900196f00da0cbb730523a46,1013,115545
258,3ff63460821ec0738cda5a688b2d45f9,1012,90226
259,f1615354aa3a8a4febd12a0a997ea2f6,1011,80648
260,f52e6c0aabc2d61bc670eb3eaaad4fbc,1010,109700
261,a2f86fb8c9e904669fe402aabe13c0f8,1009,34027
262,1bc28dd7a5ea5cab2dc4971271fd9154,1009,39317
263,8f57d64edd5f5f477a7e57aaf02f4d6e,1009,36256
264,ccb5ec182c26f8adb6d3df311a51a171,1008,106484
265,feed527391458c8b16bae0a5c4566d8c,1008,82002
266,7eaa36752bccce478ab5ee651fcc4d68,1006,50873
267,00a2733074405eba2809497288d73678,1003,101716
268,dbba45e3b3ed79808793ce35f3992044,998,63267
269,2188490550abf20d7141d823e550572a,997,52893
270,89988938ea775d6d0f4c39fd7cb1d13b,996,136820
271,9d73ecd9cf815d8bc340cd1bb8e94cfb,995,57408
272,8cc02b418f74f8babf0ca06af5cfe52e,995,116475
273,316e7f4042c5fd5fbb2f1544821440fe,989,45953
274,94366109afdccb0ce826ef9175957864,986,35507
275,d89a03d2a3bb74106bb6595ef52fdb57,986,115827
276,99b47e35381a11865c28d5e4c2ff6e57,984,64039
277,a62d6ec03dde479d712eb603b4f202cb,983,69889
278,c7f3b2d548b161de2416f83281b33168,982,36195
279,201a4696b94a528eb14bf85ae451b06d,981,99287
280,5757a0be6a9fba552680eb1106df3673,979,95809
281,02566a6e8f64f51a8ed312ad6a081656,976,60375
282,504862f12f8c000ae4358a10d657e8f5,971,70459
283,056c548ae05f3d5d06df48bef638a9c4,970,35933
284,0701da517d1a44d3af7556684e80d207,963,70658
285,07292ffe54448e884218426fefab512e,957,41349
286,2869cf17ab6b18f5f077b1cac38d8d46,957,39949
287,c5dbbe129ecfa2bbc544d0dd2f87ae9e,957,53450
288,2664375fba53215e0c876272ef7efc46,955,38993
289,09670e30a5882462541ed0eaf251bfe4,950,117430
290,1a37e2016989d9c6c0cd078b5a52d40f,946,113686
291,fe4e933cd6036f3ce4a21fc7e87573a4,945,26324
292,69c9778f330caeb13dd3dac6fba34753,943,37900
293,cc444ae23d019298b9f9a4cf5ced0b91,943,75771
294,d17bee2a9acb89ac08c85871560a2e3f,941,46946
295,d59eb2468c8801dc047fc41d2e513a7a,939,38294
296,f97beeae7a13a4e10d891113d70680dd,938,29287
297,1d7ae03893be1fface48a06a44d39d3c,934,50388
298,23855aee0bbb648016115d6b12d8dc12,932,49345
299,bedeb3ad0a48ca45d8f9436720a526a6,925,60311
300,b25c93afde4fd66539723e44bc18a56f,924,87812
301,e21a1c5e1799cee4a4d907e5aede3678,922,72007
302,7bb9346a8742de88bf2f48d622bf1057,921,92126
303,db4817c7268c2fdd94a9cc614478713d,920,54221
304,3472e31a5b0016284af30328d6291ebb,920,86175
305,1919d778b9ba96a6f879be65a07d61f1,911,97387
306,36b7e5159047f4da4d870259eed7d025,910,101462
307,d8ef6f8340776dfcd237ef39dd8676a2,910,35528
308,85bc29639b12e95d3bce94bbc3649c03,906,124577
309,6d891142f3769f3dfe265aa1c641eaf4,906,128167
310,3632ca8070bcbf5c2fcd7ae9856503fb,905,59620
311,d1751fff96589ab512f7ae2a81913c52,904,27863
312,e90049c9e113c519f1a8b5bded6381b8,903,88010
313,5fcf46eb6809a240af3ab9bcb4f2b92f,902,60815
314,05c1a511b0c809dd09a261ebf9c9dd90,900,99457
315,8a431d2248bedcf7bc575722896f36b4,899,44604
316,06c92c49b4b3fc01cfca095becf90eea,895,88587
317,ec54d06039ab2a939bef8f662fecaa04,894,32010
318,3dd952385043df1cfa28fd8ee82fdd98,893,46081
319,01be5f9e18b81927d6d7ef7ddb140f1e,892,73900
320,6c8c6d5a7a0ee39532c4140be9943f47,892,65098
321,1f6782ab3c51674d1c5c4431b44cd280,890,88866
322,d05f0615fb201a5e1d07c337b3f822c3,889,25339
323,d70a31b8366029dd44b49224b7e929f7,888,57615
324,c656c2fc3fbb87ce12b72485db8b0ccc,886,48656
325,74de40e46775f023c591233dd8977ebd,886,86890
326,ca8fc931cc7cce824fafc4728b4e1923,886,49045
327,27abc5d7b712274e04afdeefff467a46,885,50668
328,858eff547b5858857ddd05fc6bb6b0db,881,78056
329,b413829a645991cb4205c6aca21aa20f,881,127167
330,3eb2ffd9e87cae9913d50d3453ec4066,880,71862
331,6454ca2915abc80bc7e55b2c8f490c09,873,20539
332,bc824b289c420122b4fa8782b04dcd50,871,55608
333,ebf56b3a614ee2d390978bb82f02c092,870,91209
334,6e59f13901a87e71a869d7918c7e3a6a,868,63873
335,ec065ed99e41c5978eef110a88dbe260,867,57411
336,847be80ead1da3fab9c21bcd52138dc0,867,121807
337,0e403ac75ed123ca8aadc3509ea1396a,865,106275
338,8123d171fe1086a070281e66ef30fc7b,865,72926
339,b475ff47cb7e514349cc30c0477054d2,860,57290
340,7b30f8df2781c64b1d59824bfb687aa0,860,101757
341,1e9ad91b0b6509c45bfc77d6655be37d,858,40247
342,6d9ace052d9efb68351d5d78f0dec4b0,858,6088
343,6262f9ea246e00408561aa9a73c49175,857,101005
344,2f5a6e5af6eeaba4b4eb96665590db2b,857,19537
345,8dc87433b2e46b550942b92d3fba4d96,853,38862
346,c1be33b2b715250e506fb0ec9eb75f11,851,50105
347,3342ee833afa91b1fbfbe32def9bfeb2,851,88098
348,6bd8ab4de1e0686aff7b9b1be01c72b8,850,61252
349,33899d90d6dc78c71d5eb84e71af09a1,849,55834
350,549b0723c4cbad30281da2e443e3b32f,847,21344
351,29eb6d07f770d7bcd03d03203f138a1e,846,92323
352,c571e9236528fb218c6af79f992b4781,841,100505
353,115adc3d1962b825029c3b3a60064344,835,83969
354,2f0114bc41beb743e013e6df9e675019,833,56711
355,f386df661cee5aa16b56a4cee1b010b4,832,53137
356,bb17069ef9b0b5945e67e2796695813c,828,41677
357,b7ab05c0672016630250de4d70112e2d,828,43632
358,aae7df9b525a51bc2b073c4c96a214e6,826,52444
359,92be1b26bfb48dfa7ad06ce75a13263d,823,70897
360,95bde2558e5e15225b9aac125967cc13,820,54071
361,1aaf5b28bc62ea3a430a5229421d63fa,816,77943
362,20edcf6cb576cb144f6b0d9ae0751aaf,814,91479
363,335dc51aba17d6750cc9244c70c1f1df,812,50979
364,0ed71a216255e2583c3a2777aef5583f,810,10827
365,b161d65a8d4f57caee011b013da1e633,809,92627
366,583a464584646d086b3b796535641284,806,41650
367,f6a758b05bd1340199a632983753a59a,805,73646
368,b5c30451cccaefb64714db9f611d0abf,804,25081
369,277e5c257f1f5fc4b6083dcdef8dec92,803,23509
370,d1083d0ad241aae0513f18b37feedc28,801,22938
371,5b670721d060e5063273aefefd0e0731,797,57188
372,c15c7cc981a1e13a09bec5539400f741,797,66141
373,1ba6f24e9343b1bddb1516e3c09a572f,796,55277
374,961be32f9dd3877abb71d6f7dc207906,791,26507
375,3dff589de440347d588056c59d360752,790,93685
376,003a80b077f815e91c31e0b216727b50,789,53826
377,a7837f655415eda09f383a346cac26da,786,110945
378,a984dc04620ca06ad5fa3d8e0d8861f7,785,91552
379,644e63a8b53f2abc632da353a84a4c72,785,69500
380,849a43df4deec49316abea59d60986d7,783,31893
381,849cd35a3dfc7200b683b67d0167598f,783,62895
382,135104ba5b9099da2e5ebbbf9359fed6,781,32586
383,2e277756a6798ab00830f1e59b3ffe3d,779,46114
384,c920d8767067b4e978a91f3b69be9c79,777,39747
385,b89d42ee7d7b4cbdc78be6edad43b4e6,776,13067
386,9f7fa32129299c6ea34bd7d8215170af,774,19823
387,a33540af2791b591499370e1a3ecf2c0,771,44181
388,4f2118e2b0c12f05a8255d3dd20a273f,771,124053
389,e78afd1e6d9757f0086f976b58380603,771,24298
390,2df74d6695cbbf0f50df37cba214261c,770,123308
391,a1145ca3f643e47a78e4dbacd8028b92,770,29622
392,c05947c648c7e7c28fc059e236f178dd,770,54366
393,07772f8522b50dbb08f6cc27ac5ea88f,769,57241
394,66e51e7a6f5fd0d32884d48263330b47,769,34593
395,59cf59b9eadd5baf6a79ce99f10d6a2c,768,120191
396,2c387f177ab0cbfac7d1fe84bd08122b,766,42615
397,e6ec0d6342165a169b3cd061033b39c0,766,1315
398,9158a996a359b9412ff5daf276cd7765,765,109637
399,103bd5ed06cd855b058b8200b6c1861c,765,103265
400,05e2224a6df7b5b98a3b39d11ffa1730,763,28662
401,fe7e7732bfe0f7ea0721ac74761d8ae8,763,57932
402,5fca105c6489303e1bd15a003b2a84d6,763,93121
403,0db7796b59a07d0857b76ef9e6745e7f,761,51837
404,90c64feb3bb1dba0b6c7394845f18915,760,9758
405,f508c6623e69a744106545a05fc5c1f1,760,38592
406,cefe9da8818ca537f3cd22f8f88c9cb7,759,49677
407,be5bb5695fdf353cd0d7b24091b9e21d,758,4432
408,391e6b6909c1d8463a97464982f5bc2b,753,19483
409,e3e213017f969810c9acf4edbe2925e1,752,13391
410,0dc69d2fe53136ff9a29abd6cf5ac0fe,749,79522
411,155fe10095d8913b059a7222955f7b8e,747,64786
412,7eafbd2faf50dc88e4e04f7b06412e78,747,95946
413,6e6dcea4148a88a47df73fe1e5756e4f,746,86657
414,f9a757a730c98eaa2ad4906221e8c14f,744,85478
415,408a3ecd5f78c9360eda86c058a6be52,744,52950
416,8abed8b71b898434fd96d9a401c11b81,742,63431
417,31205baaa700258a2344c2a8d6463b5f,742,63793
418,78e4391f733ef1da61d169223f568f9a,741,31191
419,861b1b72436f6037e0f2c1d7209279c8,741,61282
420,c54fc148293e4f52aec1470d89d56a93,740,54900
421,8097ad148c4b29240b87aec0f9416749,738,6970
422,035acb434674fbc71185a3b96de01259,735,39011
423,2e5329d187b4ebbd4045eac39f606f0d,734,44760
424,6615a7d4d50668ef4c9bca693714088e,733,94316
425,390c0ffc9844a937f7a54c93eed1ce31,733,59830
426,1c37c7cf455b1a9b0fccfea5ea3ecc0b,733,28730
427,821b05bc0be0432905380f8cddfd1c71,731,55511
428,fbf31b336ad31113bc826dccc68fb6a1,730,36071
429,b6df429d3ff948c1d54e96eaacc3bdeb,728,39628
430,da22b73fbba95cb6067ec2a4a8d745ec,727,86218
431,6ecd687b263e54d2dfb1eee205bf2618,726,127572
432,c02a3fb76c95872f7891d6e5bd5875da,726,72752
433,ac453a54ace5fe50c7ba46da11f681e5,725,43556
434,82182cbcc14871c6bbb1dfe454c87a1f,725,57257
435,06f51a9b93a208efa1b6002b06597073,723,59001
436,e0c467039df8dffccc22fcb2aa1699b1,723,31901
437,67559e1a7c7c5d88e96ab7ba7a93183d,722,60519
438,f6bd041f7cd1aab08d17c430198c77ac,722,61597
439,4e0c9fb5bef5fb3ff020781feec6a645,722,117879
440,3a7e5f5f4ed5defeefb1b7f170e6f6df,721,40703
441,afdb04fade64c8f14750d31cbc37fc26,720,92281
442,5262183f462a8917893a60343b15f982,719,54348
443,ef883a05b53201e88bebb8c0e207bfd0,719,32184
444,4a92288e6e62de2a7a1608f495d91ced,718,77564
445,994e0be0ec912bc380fbcaf8ed105401,718,86851
446,6657c26dc8d5fc24676587453a1a14ab,715,65251
447,8a155ed519c9e8e72b4018315701dc19,715,47944
448,15bc41809b888b0a504af83a6791a1ee,710,34672
449,b290471858639c86b47bc6246d64aee3,710,75854
450,918ba84be64ddfd24b8b85e7aeda0f8f,708,4922
451,98500a6228747f60e2230f46d7d61c12,706,18756
452,018029988b1f1e580bd9d1c749dd40e9,706,36592
453,d007a2a659630c7aee89a1184102e493,704,99106
454,edb2a917b565fcd5ed80eb6edac794cb,701,61880
455,353eff4753a562758233ca5d1e55929e,700,67707
456,0bd4dccb7d432f218d25f22a09163bd9,699,37031
457,a8cc638d81bd079051bd4b3ad47e0080,699,16059
458,1dd85ecb2862452da53769b5e6456e6d,698,114080
459,b77b635f0fa6e474d35c84d4ad701295,697,19640
460,0b3acb3c0f43267ef87c4e3410a98855,696,37146
461,5e10713bbe76cf596f77ee9a462be13a,695,46586
462,7510fa3398d9fe760be19a2b048be9aa,695,45924
463,e53887fba9f408b4b1e1439da51f2a05,693,36667
464,04f40666c6efdce4fd0db832f1d820d0,692,61063
465,7f83eb8f65037c2334917b2ce21a4830,691,61059
466,24d8c2b54661d237c8c57f4361f2756b,691,31777
467,12ce1b3003014d5dbbc56be0d0279966,690,50554
468,9b70be4321368bf57cab2d59eea7b349,690,76012
469,778438037e5cfefd97723ae64d87c7ee,690,75087
